# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.2642318904399872, 'train/mse_loss': 0.0032684144098311663, 'train/n_groups': 2, 'train/total_loss': 0.13375015556812286, 'epoch': 0.8839438171302672}
{'train/listnet_loss': 0.25943124294281006, 'train/mse_loss': 0.0055358679965138435, 'train/n_groups': 2, 'train/total_loss': 0.1324835568666458, 'epoch': 0.8866978793720738}
{'train/listnet_loss': 0.30762818455696106, 'train/mse_loss': 0.008871881291270256, 'train/n_groups': 3, 'train/total_loss': 0.15825003385543823, 'epoch': 0.8894519416138805}
{'train/listnet_loss': 0.26957768201828003, 'train/mse_loss': 0.004639510065317154, 'train/n_groups': 2, 'train/total_loss': 0.13710859417915344, 'epoch': 0.8922060038556872}
{'train/listnet_loss': 0.3071983754634857, 'train/mse_loss': 0.001608105143532157, 'train/n_groups': 3, 'train/total_loss': 0.15440323948860168, 'epoch': 0.8949600660974938}
{'train/listnet_loss': 0.2823052704334259, 'train/mse_loss': 0.010918674990534782, 'train/n_groups': 2, 'train/total_loss': 0.14661197364330292, 'epoch': 0.8977141283393004}
{'train/listnet_loss': 0.2608688771724701, 'train/mse_loss': 0.0062230434268713, 'train/n_groups': 2, 'train/total_loss': 0.13354596495628357, 'epoch': 0.9004681905811072}
{'train/listnet_loss': 0.2820039391517639, 'train/mse_loss': 0.002446115482598543, 'train/n_groups': 2, 'train/total_loss': 0.14222502708435059, 'epoch': 0.9032222528229138}
{'train/listnet_loss': 0.281656414270401, 'train/mse_loss': 0.005999885965138674, 'train/n_groups': 2, 'train/total_loss': 0.1438281536102295, 'epoch': 0.9059763150647204}
{'train/listnet_loss': 0.3390086889266968, 'train/mse_loss': 0.00416316045448184, 'train/n_groups': 4, 'train/total_loss': 0.17158591747283936, 'epoch': 0.9087303773065272}
{'train/listnet_loss': 0.2718076705932617, 'train/mse_loss': 0.0043327342718839645, 'train/n_groups': 2, 'train/total_loss': 0.13807019591331482, 'epoch': 0.9114844395483338}
{'train/listnet_loss': 0.3184513747692108, 'train/mse_loss': 0.0031656932551413774, 'train/n_groups': 3, 'train/total_loss': 0.1608085334300995, 'epoch': 0.9142385017901404}
{'train/listnet_loss': 0.27657777070999146, 'train/mse_loss': 0.0064054555259644985, 'train/n_groups': 2, 'train/total_loss': 0.1414916068315506, 'epoch': 0.9169925640319472}
{'train/listnet_loss': 0.26980113983154297, 'train/mse_loss': 0.008588045835494995, 'train/n_groups': 2, 'train/total_loss': 0.13919459283351898, 'epoch': 0.9197466262737538}
{'train/listnet_loss': 0.27460500597953796, 'train/mse_loss': 0.004883316811174154, 'train/n_groups': 2, 'train/total_loss': 0.13974416255950928, 'epoch': 0.9225006885155604}
{'train/listnet_loss': 0.31891459226608276, 'train/mse_loss': 0.006909295450896025, 'train/n_groups': 3, 'train/total_loss': 0.16291193664073944, 'epoch': 0.9252547507573671}
{'train/listnet_loss': 0.2765978276729584, 'train/mse_loss': 0.0035230268258601427, 'train/n_groups': 2, 'train/total_loss': 0.1400604248046875, 'epoch': 0.9280088129991738}
{'train/listnet_loss': 0.26776009798049927, 'train/mse_loss': 0.005085555836558342, 'train/n_groups': 2, 'train/total_loss': 0.13642282783985138, 'epoch': 0.9307628752409804}
{'train/listnet_loss': 0.2599218487739563, 'train/mse_loss': 0.002428122330456972, 'train/n_groups': 2, 'train/total_loss': 0.1311749815940857, 'epoch': 0.9335169374827871}
{'train/listnet_loss': 0.3105367422103882, 'train/mse_loss': 0.006733806803822517, 'train/n_groups': 3, 'train/total_loss': 0.15863527357578278, 'epoch': 0.9362709997245938}
{'train/listnet_loss': 0.2821638882160187, 'train/mse_loss': 0.0029978714883327484, 'train/n_groups': 2, 'train/total_loss': 0.14258088171482086, 'epoch': 0.9390250619664005}
{'train/listnet_loss': 0.32530516386032104, 'train/mse_loss': 0.0039735459722578526, 'train/n_groups': 3, 'train/total_loss': 0.16463935375213623, 'epoch': 0.9417791242082071}
{'train/listnet_loss': 0.26071617007255554, 'train/mse_loss': 0.00670224754139781, 'train/n_groups': 2, 'train/total_loss': 0.13370920717716217, 'epoch': 0.9445331864500137}
{'train/listnet_loss': 0.2597665786743164, 'train/mse_loss': 0.003556503914296627, 'train/n_groups': 2, 'train/total_loss': 0.1316615343093872, 'epoch': 0.9472872486918205}
{'train/listnet_loss': 0.2650577127933502, 'train/mse_loss': 0.006626867223531008, 'train/n_groups': 2, 'train/total_loss': 0.13584229350090027, 'epoch': 0.9500413109336271}
{'train/listnet_loss': 0.3036993741989136, 'train/mse_loss': 0.0022445768117904663, 'train/n_groups': 3, 'train/total_loss': 0.15297198295593262, 'epoch': 0.9527953731754337}
{'train/listnet_loss': 0.2814105451107025, 'train/mse_loss': 0.002996032126247883, 'train/n_groups': 2, 'train/total_loss': 0.14220328629016876, 'epoch': 0.9555494354172405}
{'train/listnet_loss': 0.2608586251735687, 'train/mse_loss': 0.008496921509504318, 'train/n_groups': 2, 'train/total_loss': 0.13467776775360107, 'epoch': 0.9583034976590471}
{'train/listnet_loss': 0.3096466362476349, 'train/mse_loss': 0.005151882767677307, 'train/n_groups': 3, 'train/total_loss': 0.1573992669582367, 'epoch': 0.9610575599008537}
{'train/listnet_loss': 0.26937130093574524, 'train/mse_loss': 0.003338968614116311, 'train/n_groups': 2, 'train/total_loss': 0.13635513186454773, 'epoch': 0.9638116221426605}
{'train/listnet_loss': 0.269416868686676, 'train/mse_loss': 0.004817658569663763, 'train/n_groups': 2, 'train/total_loss': 0.13711726665496826, 'epoch': 0.9665656843844671}
{'train/listnet_loss': 0.27628058195114136, 'train/mse_loss': 0.002465713769197464, 'train/n_groups': 2, 'train/total_loss': 0.13937315344810486, 'epoch': 0.9693197466262737}
{'train/listnet_loss': 0.27239707112312317, 'train/mse_loss': 0.005499011371284723, 'train/n_groups': 2, 'train/total_loss': 0.13894803822040558, 'epoch': 0.9720738088680804}
{'train/listnet_loss': 0.2590967118740082, 'train/mse_loss': 0.007727309130132198, 'train/n_groups': 2, 'train/total_loss': 0.13341200351715088, 'epoch': 0.9748278711098871}
{'train/listnet_loss': 0.3038107752799988, 'train/mse_loss': 0.004811734892427921, 'train/n_groups': 3, 'train/total_loss': 0.15431125462055206, 'epoch': 0.9775819333516937}
{'train/listnet_loss': 0.3147527575492859, 'train/mse_loss': 0.003542583901435137, 'train/n_groups': 3, 'train/total_loss': 0.15914766490459442, 'epoch': 0.9803359955935004}
{'train/listnet_loss': 0.2686631679534912, 'train/mse_loss': 0.015919461846351624, 'train/n_groups': 2, 'train/total_loss': 0.14229130744934082, 'epoch': 0.9830900578353071}
{'train/listnet_loss': 0.2596105933189392, 'train/mse_loss': 0.005197614431381226, 'train/n_groups': 2, 'train/total_loss': 0.13240410387516022, 'epoch': 0.9858441200771138}
{'train/listnet_loss': 0.2641622722148895, 'train/mse_loss': 0.004037384409457445, 'train/n_groups': 2, 'train/total_loss': 0.1340998262166977, 'epoch': 0.9885981823189204}
{'train/listnet_loss': 0.3292536437511444, 'train/mse_loss': 0.003116475883871317, 'train/n_groups': 3, 'train/total_loss': 0.16618506610393524, 'epoch': 0.9913522445607271}
{'eval_loss': 0.0031547688138015323, 'eval_ranking_accuracy': 0.8120162961501051, 'eval_spearman': 0.7638439432256876, 'epoch': 0.9914624070503993}
{'train/listnet_loss': 0.30047687888145447, 'train/mse_loss': 0.0017162312287837267, 'train/n_groups': 3, 'train/total_loss': 0.15109655261039734, 'epoch': 0.9941063068025338}
{'train/listnet_loss': 0.2815112769603729, 'train/mse_loss': 0.004690706264227629, 'train/n_groups': 2, 'train/total_loss': 0.14310099184513092, 'epoch': 0.9968603690443404}
{'train/listnet_loss': 0.2768450975418091, 'train/mse_loss': 0.0057403529062867165, 'train/n_groups': 2, 'train/total_loss': 0.1412927210330963, 'epoch': 0.999614431286147}
