# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.37024208903312683, 'train/mse_loss': 0.9939161539077759, 'train/n_groups': 3, 'train/total_loss': 0.6820791363716125, 'epoch': 0.002643899752134398}
{'train/listnet_loss': 0.2748681604862213, 'train/mse_loss': 0.23135842382907867, 'train/n_groups': 2, 'train/total_loss': 0.2531132996082306, 'epoch': 0.005397961993941063}
{'train/listnet_loss': 0.2744544744491577, 'train/mse_loss': 0.6844872832298279, 'train/n_groups': 2, 'train/total_loss': 0.4794708788394928, 'epoch': 0.008152024235747728}
{'train/listnet_loss': 0.3319668769836426, 'train/mse_loss': 0.7066115140914917, 'train/n_groups': 3, 'train/total_loss': 0.5192891955375671, 'epoch': 0.010906086477554392}
{'train/listnet_loss': 0.29855167865753174, 'train/mse_loss': 0.296628475189209, 'train/n_groups': 2, 'train/total_loss': 0.29759007692337036, 'epoch': 0.013660148719361057}
{'train/listnet_loss': 0.31019189953804016, 'train/mse_loss': 0.214071124792099, 'train/n_groups': 2, 'train/total_loss': 0.2621315121650696, 'epoch': 0.016414210961167724}
{'train/listnet_loss': 0.27632981538772583, 'train/mse_loss': 0.29167863726615906, 'train/n_groups': 2, 'train/total_loss': 0.28400421142578125, 'epoch': 0.019168273202974387}
{'train/listnet_loss': 0.3543192744255066, 'train/mse_loss': 0.1818801909685135, 'train/n_groups': 5, 'train/total_loss': 0.26809972524642944, 'epoch': 0.021922335444781053}
{'train/listnet_loss': 0.2748091220855713, 'train/mse_loss': 0.18429437279701233, 'train/n_groups': 2, 'train/total_loss': 0.2295517474412918, 'epoch': 0.024676397686587716}
{'train/listnet_loss': 0.2790111303329468, 'train/mse_loss': 0.32430499792099, 'train/n_groups': 2, 'train/total_loss': 0.3016580641269684, 'epoch': 0.027430459928394383}
{'train/listnet_loss': 0.273833692073822, 'train/mse_loss': 0.0859181135892868, 'train/n_groups': 2, 'train/total_loss': 0.179875910282135, 'epoch': 0.030184522170201046}
{'train/listnet_loss': 0.2664608359336853, 'train/mse_loss': 0.1260259747505188, 'train/n_groups': 2, 'train/total_loss': 0.19624340534210205, 'epoch': 0.03293858441200771}
{'train/listnet_loss': 0.27979013323783875, 'train/mse_loss': 0.05832678824663162, 'train/n_groups': 2, 'train/total_loss': 0.16905845701694489, 'epoch': 0.03569264665381438}
{'train/listnet_loss': 0.2892095446586609, 'train/mse_loss': 0.040037594735622406, 'train/n_groups': 2, 'train/total_loss': 0.16462357342243195, 'epoch': 0.03844670889562104}
{'train/listnet_loss': 0.2829893231391907, 'train/mse_loss': 0.03608040511608124, 'train/n_groups': 2, 'train/total_loss': 0.15953487157821655, 'epoch': 0.041200771137427705}
{'train/listnet_loss': 0.26445478200912476, 'train/mse_loss': 0.005767900496721268, 'train/n_groups': 2, 'train/total_loss': 0.13511134684085846, 'epoch': 0.04395483337923437}
{'train/listnet_loss': 0.2825729250907898, 'train/mse_loss': 0.010819114744663239, 'train/n_groups': 2, 'train/total_loss': 0.14669601619243622, 'epoch': 0.04670889562104104}
{'train/listnet_loss': 0.2714177370071411, 'train/mse_loss': 0.005692495033144951, 'train/n_groups': 2, 'train/total_loss': 0.138555109500885, 'epoch': 0.0494629578628477}
{'train/listnet_loss': 0.304437518119812, 'train/mse_loss': 0.005380540154874325, 'train/n_groups': 3, 'train/total_loss': 0.15490902960300446, 'epoch': 0.052217020104654364}
