# Simple Labels + Strong LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# LDCA: Strong weighting (alpha_victim=2.0, alpha_lucky=1.5)
# Metrics: ranking_accuracy, spearman, loss, weight_stats, gradient_norm
# Format: {metrics_dict}

{'train/listnet_loss': 0.5114691257476807, 'train/mse_loss': 0.9807274341583252, 'train/n_groups': 3, 'train/total_loss': 0.7460982799530029, 'train/weight_mean': 1.2057186365127563, 'train/weight_std': 0.4324969947338104, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 2.007697343826294, 'train/victim_pct': 37.5, 'train/lucky_pct': 12.5, 'train/agreement_pct': 50.0, 'epoch': 0.002643899752134398}
{'train/listnet_loss': 0.3780653476715088, 'train/mse_loss': 1.2141804695129395, 'train/n_groups': 2, 'train/total_loss': 0.7961229085922241, 'train/weight_mean': 1.3118181228637695, 'train/weight_std': 0.18869110941886902, 'train/weight_min': 1.0, 'train/weight_max': 1.6179980039596558, 'train/victim_pct': 75.0, 'train/lucky_pct': 0.0, 'train/agreement_pct': 25.0, 'epoch': 0.005397961993941063}
{'train/listnet_loss': 0.32827767729759216, 'train/mse_loss': 1.0448987483978271, 'train/n_groups': 2, 'train/total_loss': 0.6865882277488708, 'train/weight_mean': 1.1563520431518555, 'train/weight_std': 0.33650657534599304, 'train/weight_min': 0.550000011920929, 'train/weight_max': 1.8659043312072754, 'train/victim_pct': 37.5, 'train/lucky_pct': 12.5, 'train/agreement_pct': 50.0, 'epoch': 0.008152024235747728}
{'train/listnet_loss': 0.36559543013572693, 'train/mse_loss': 0.31183692812919617, 'train/n_groups': 3, 'train/total_loss': 0.33871617913246155, 'train/weight_mean': 1.0689351558685303, 'train/weight_std': 0.2818092107772827, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.4479631185531616, 'train/victim_pct': 31.25, 'train/lucky_pct': 12.5, 'train/agreement_pct': 56.25, 'epoch': 0.010906086477554392}
{'train/listnet_loss': 0.34898173809051514, 'train/mse_loss': 0.35229283571243286, 'train/n_groups': 2, 'train/total_loss': 0.350637286901474, 'train/weight_mean': 1.0255420207977295, 'train/weight_std': 0.3136391341686249, 'train/weight_min': 0.46218758821487427, 'train/weight_max': 1.6349856853485107, 'train/victim_pct': 25.0, 'train/lucky_pct': 18.75, 'train/agreement_pct': 56.25, 'epoch': 0.013660148719361057}
{'train/listnet_loss': 0.4010012745857239, 'train/mse_loss': 0.1799519807100296, 'train/n_groups': 2, 'train/total_loss': 0.29047662019729614, 'train/weight_mean': 1.3939476013183594, 'train/weight_std': 0.31978845596313477, 'train/weight_min': 0.7448140382766724, 'train/weight_max': 1.979783058166504, 'train/victim_pct': 75.0, 'train/lucky_pct': 6.25, 'train/agreement_pct': 18.75, 'epoch': 0.016414210961167724}
{'train/listnet_loss': 0.3467288911342621, 'train/mse_loss': 0.29638147354125977, 'train/n_groups': 2, 'train/total_loss': 0.3215551972389221, 'train/weight_mean': 1.2684754133224487, 'train/weight_std': 0.21620053052902222, 'train/weight_min': 1.0, 'train/weight_max': 1.641425609588623, 'train/victim_pct': 62.5, 'train/lucky_pct': 0.0, 'train/agreement_pct': 37.5, 'epoch': 0.019168273202974387}
{'train/listnet_loss': 0.5335599184036255, 'train/mse_loss': 0.5501803159713745, 'train/n_groups': 5, 'train/total_loss': 0.5418701171875, 'train/weight_mean': 1.3559668064117432, 'train/weight_std': 0.5364397764205933, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 2.7916629314422607, 'train/victim_pct': 62.5, 'train/lucky_pct': 12.5, 'train/agreement_pct': 25.0, 'epoch': 0.021922335444781053}
{'train/listnet_loss': 0.40655577182769775, 'train/mse_loss': 0.13800927996635437, 'train/n_groups': 2, 'train/total_loss': 0.27228254079818726, 'train/weight_mean': 1.0255608558654785, 'train/weight_std': 0.5533154606819153, 'train/weight_min': 0.25, 'train/weight_max': 1.83698308467865, 'train/victim_pct': 43.75, 'train/lucky_pct': 50.0, 'train/agreement_pct': 6.25, 'epoch': 0.024676397686587716}
{'train/listnet_loss': 0.38068556785583496, 'train/mse_loss': 0.1965210735797882, 'train/n_groups': 2, 'train/total_loss': 0.2886033058166504, 'train/weight_mean': 1.4943649768829346, 'train/weight_std': 0.49877581000328064, 'train/weight_min': 0.550000011920929, 'train/weight_max': 2.2184154987335205, 'train/victim_pct': 68.75, 'train/lucky_pct': 12.5, 'train/agreement_pct': 18.75, 'epoch': 0.027430459928394383}
{'train/listnet_loss': 0.3552142381668091, 'train/mse_loss': 0.12798292934894562, 'train/n_groups': 2, 'train/total_loss': 0.24159857630729675, 'train/weight_mean': 1.3509254455566406, 'train/weight_std': 0.34837138652801514, 'train/weight_min': 0.7138535976409912, 'train/weight_max': 2.2670416831970215, 'train/victim_pct': 68.75, 'train/lucky_pct': 6.25, 'train/agreement_pct': 25.0, 'epoch': 0.030184522170201046}
